Depertment ,Question,Answer,Explanation,source
Cancer Predispositions,"You receive a phone call from a community pediatrician who is caring for a 2-year-old
toddler with a cancer predisposition syndrome. The pediatrician describes a child at the 95th
percentile for height and weight with a history of corrective oral surgery to reduce a large
tongue and a history of an omphalocele in infancy. The pediatrician is currently performing
ultrasound of the abdomen and laboratory evaluation for this patient every 3 months.
Which tumor is this patient most at risk of developing?
A. Pleuropulmonary blastoma
B. Hepatocellular carcinoma
C. Cystic nephroma
D. Nephroblastoma
E. Pheochromocytoma",SUFU,"Nevoid basal cell carcinoma syndrome, also known as Gorlin syndrome, is caused by a
pathogenic variant in either the PTCH1 or SUFU gene. Pathogenic variants in SUFU are more
commonly linked to the development of desmoplastic nodular medulloblastoma in early
childhood, making answer choice C correct. Option A is incorrect because pathogenic variants in
PTEN are not linked to the development of desmoplastic nodular medulloblastoma. Option B is
incorrect because CDKN2A is linked to familial melanoma and is unrelated to development of
medulloblastoma. Option D is incorrect because pathogenic variants in SMARCB1 are linked to
the development of atypical teratoid/rhabdoid tumor. Option E is incorrect because patients with
pathogenic variants in TP53 are more likely to develop low- or high-grade gliomas.",100mcq's
Cancer Predispositions,"You are seeing a 12-year-old boy in the survivorship program who presented at 2 years old
with a desmoplastic nodular medulloblastoma. You note the child recently underwent
germline genetic testing and was found to have nevoid basal cell carcinoma syndrome.
In which gene is the child most likely to have a pathogenic variant?
A. PTEN
B. CDKN2A
C. SUFU
D. SMARCB1
E. TP53",A. Papillary thyroid cancer,"Pleuropulmonary blastoma (PPB) is highly associated with DICER1 syndrome. Other tumors in
this cancer predisposition syndrome include papillary thyroid carcinoma, making A the correct
answer. Medullary thyroid cancer is associated with multiple endocrine neoplasia (MEN2),
therefore option B is incorrect. Pheochromocytomas are linked to pathogenic variants in the
SHDx gene family and not associated with DICER1, making option C incorrect. Renal cell
carcinoma is linked to hereditary leiomyosarcoma and renal cell carcinoma predisposition or
Von Hippel-Lindau, making option D incorrect. Osteosarcoma is linked to Li-Fraumeni
syndrome, making option E incorrect.",100mcq's
Cancer Predispositions,"A 10-year-old girl is a long-term survivor of type II pleuropulmonary blastoma (PPB). You
suspect she has a cancer predisposition syndrome and perform genetic testing, which
confirms she has DICER1 syndrome.
Which other cancer is she predisposed to?
A. Papillary thyroid cancer
B. Medullary thyroid cancer
C. Pheochromocytoma
D. Renal cell carcinoma
E. Osteosarcoma","She has inherited an alpha-spectrin mutation from both of her parents and may
experience an improvement in her anemia over time.","The parents of this patient have normal blood counts and peripheral blood smear findings
consistent with hereditary elliptocytosis, and this newborn has findings consistent with hereditary
pyropoikilocytosis. Hereditary pyropoikilocytosis has an autosomal recessive pattern with a
family history of hereditary elliptocytosis and is most often caused by alpha-spectrin mutations
inherited in trans. The hemolysis can be severe but, in some patients, improves with age.
Answer A is incorrect because ankyrin mutations typically cause hereditary spherocytosis (HS;
associated with approximately 50% of cases). The parents’ normal labs and their peripheral
blood smears are not consistent with autosomal dominant HS in this family. Answer B is
incorrect because, like answer A, band 3 mutations cause autosomal dominant HS. Answer D is
less likely because carriers of one copy of a PKLR variant typically have no clinical findings by
blood counts or peripheral blood smear and affected non-splenectomized infants often have a
relatively bland peripheral blood smear.",100mcq's
Congenital and Acquired Hemolytic Anemias,"A newborn infant develops jaundice on day of life 2. Labs are drawn, and she has a
hemoglobin of 7.4 g/dL with a reticulocyte count of 8%. Upon peripheral blood smear
review, she is found to have bizarre red cell forms with significant poikilocytosis. Although
her parents have normal blood counts, on review of their peripheral blood smears, they both
have a moderate number of ovalocytes. Which of the following is the most likely cause of the
infant’s red cell findings?
A. She has an autosomal dominant ankyrin mutation from one of her parents causing
hereditary spherocytosis.
B. She has inherited band 3 variants from each parent and will likely need a splenectomy
after she turns 5 years old.
C. She has inherited an alpha-spectrin mutation from both of her parents and may
experience an improvement in her anemia over time.
D. She has inherited a PKLR variant from each parent, and enzyme testing will be consistent
with her diagnosis of pyruvate kinase deficiency.","E. If she undergoes splenectomy, she will be at long-term risk for both infections and
thrombosis.","Splenectomy is associated with risk of infections, including encapsulated organism bacteremia as
well as more severe infections with other organisms including babesia and malaria. In addition,
splenectomy for nonmalignant hematologic conditions is associated with an increased risk of
thrombosis. Hereditary xerocytosis, which this patient does not have, appears to be associated
with the highest risk of thrombosis after splenectomy.
Answer A is incorrect because unstable hemoglobins, like Hb Indianapolis, are hard to detect in
the periphery, particularly when beta-globin is at a lower quantity in the newborn period. Answer
B is incorrect because nucleated red cells and Howell Jolly bodies can both be seen in patients
with intact spleens and increased marrow stress from ineffective or increased erythropoiesis
and/or hyposplenism. Answer C is incorrect for unstable hemoglobins and for most hemolytic
states except hereditary spherocytosis. However, transfusion requirements may be partially
ameliorated by splenectomy. Answer D is incorrect because this patient has ineffective
erythropoiesis associated with indirect hyperbilirubinemia and this will continue, albeit likely at
a more suppressed rate, even in the setting of transfusions.",100mcq's
Congenital and Acquired Hemolytic Anemias,"A 10-year-old girl has had transfusion-dependent anemia since age 6 months. She is found to
have an unstable hemoglobin by sequence analysis (Hb Indianapolis). She has jaundice,
obvious bony deformity from extramedullary hematopoiesis, and hepatosplenomegaly.
Which of the following statements is correct?
A. Her diagnosis should have been picked up on newborn screen by electrophoresis,
isoelectric focusing, or high-performance liquid chromatography similar to other betahemoglobinopathies.
B. Since her spleen is intact, her peripheral blood smear cannot have nucleated red cells or
Howell Jolly bodies.
C. If she undergoes splenectomy, her anemia should be entirely ameliorated.
D. Since she is transfused, she will not be at risk for gallstones.
E. If she undergoes splenectomy, she will be at long-term risk for both infections and
thrombosis.",E. Pyrimidine 5’-nucleotidase deficiency,"Pyrimidine 5’-nucleotidase (P5’-N) deficiency is the third most common enzyme disorder after
G6PD deficiency and pyruvate kinase deficiency. P5’-N is autosomal recessive and is associated
with pronounced basophilic stippling due to accumulation of pyrimidine nucleotides in
erythrocytes. Answer A is incorrect because Rh-null disease is associated with stomatocytosis.
Answer B is incorrect because pyropoikilocytosis is associated with a diagnosis of hereditary
elliptocytosis (HE) in family members and bizarre forms and significant poikilocytosis on
peripheral blood smear. Answer C is incorrect because glucose phosphate isomerase (GPI)
deficiency typically has a relatively bland peripheral blood smear and is not associated with
basophilic stippling. Answer D is incorrect because unstable hemoglobins are not associated with
basophilic stippling but are often associated with Heinz bodies.",100mcq's
Congenital and Acquired Hemolytic Anemias,"A 5-year-old boy is evaluated for apparent ongoing hemolysis. His hemoglobin is 9.5 g/dL,
with 8% reticulocytes and MCV 87 fL. Platelets and leukocytes are normal. His direct
antiglobulin test (DAT) is negative. No cold agglutinin is detectable. His family history is
negative for blood disorders. Peripheral smear reveals basophilic stippling in 10% of the red
blood cells.
Given these findings, which of the following blood disorders is most likely?
A. Rh-null disease
B. Hereditary pyropoikilocytosis
C. Glucose phosphate isomerase deficiency
D. Unstable hemoglobin
E. Pyrimidine 5’-nucleotidase deficiency",C. von Willebrand factor,"The platelet aggregation study results here are consistent with those seen in Bernard-Soulier
syndrome. This is an autosomal recessive condition due to an absence of glycoprotein Ib-IX,
which results in macrothrombocytopenia and poor platelet function. Glycoprotein Ib-IX causes
platelet adhesion to the vascular endothelium via von Willebrand factor (vWF).
Glycoprotein VI binds collagen. Glycoprotein IIb-IIIa binds to fibrinogen and is absent in
Glanzmann thrombasthenia. Absence of dense granules would result in a lack of second-wave
aggregation to adenosine diphosphate (ADP) and epinephrine, and this pattern is seen in dense
granule disorders like Hermansky-Pudlak syndrome. ADMATS-13 is the metalloprotease that
breaks down ultralarge vWF multimers. If this is blocked by an antibody or reduced, then the
patient would develop thrombotic thrombocytopenic purpura.",100mcq's
Disorders of Platelets,"A patient is scheduled for upcoming surgery. He is on nonsteroidal anti-inflammatory drugs
(NSAIDs) for rheumatoid arthritis. You are being asked what to do with his medications for
the surgery.
What is the mechanism of action of NSAIDS?
A. Irreversible inhibition of cyclooxygenase 1
B. Irreversible inhibition of cyclooxygenase 2
C. Reversible inhibition of cyclooxygenase 1
D. Reversible inhibition of cyclooxygenase 2
E. Direct inhibition of ADP",C. Reversible inhibition of cyclooxygenase 1,"Both acetylsalicylic acid (ASA; Aspirin) and nonsteroidal antiinflammatory drugs (NSAIDs)
have their platelet effect through inactivation of cyclooxygenase (COX), and therefore cause
platelet dysfunction by inhibiting the formation of thromboxane A2. NSAIDs reversibly block
COX, so the effect on platelet function is related to the half-life of the drug. Aspirin, on the other
hand, irreversibly inactivates cyclooxygenase (COX), and so will have an effect for the duration
of the platelet lifespan, approximately 7 to 9 days. Both of these drugs have an antiplatelet effect
through COX-1 inhibition. COX-2 inhibition is shown by NSAIDs and results in antiinflammatory
effects. Direct inhibition of adenosine diphosphate (ADP) is the mechanism of
action of newer antiplatelet agents, such as dipyridamole and clopidogrel, by blocking of the
GPIIb/IIIa complex.",100mcq's
Disorders of Platelets,"A 17-year-old patient is referred to you for a platelet count of 1,200,000/mm3. On history,
she notes that she often has numbness and tingling in her hands and feet and has frequent
epistaxis. She is otherwise well-appearing and has no recent infections. On her exam, you
note splenomegaly.
What do you expect to see on further evaluation?
A. Elevated C-reactive protein
B. Low ferritin
C. A hypocellular bone marrow
D. Low von Willebrand factor activity
E. Low thrombopoietin levels",D. Low von Willebrand factor activity,"The teenager described here likely has essential thrombocytosis. She currently is having
paradoxical bleeding in the form of epistaxis despite having thrombocytosis. Patients with
essential thrombocytosis can develop acquired von Willebrand disease (VWD), and all patients
with essential thrombocytosis should have screening for acquired VWD even in the absence of
bleeding because this may impact decisions about treatment with antiplatelet therapy. She does
not have any clinical symptoms that would indicate that she has thrombocytosis in reaction to
inflammation. In addition, she is symptomatic from her thrombocytosis, which usually is not
seen in patients with reactive thrombocytosis. Therefore, her C-reactive protein (CRP) would be
expected to be normal. Although iron deficiency can cause thrombocytosis, it is usually not this
significant and also would not be associated with clinical symptoms. In essential thrombocytosis,
the thrombopoietin level will be elevated and the bone marrow is hypercellular with increase in
megakaryocytes.",100mcq's
Lymphoma,"A 15-year-old female presents with 1 month of fatigue and 3 days of chest pain and shortness
of breath. Her physical exam is unremarkable. A chest x-ray shows a large mediastinal mass
that is greater than 33% of the diameter of her chest cavity. A biopsy shows nodular
sclerosing, classic Hodgkin lymphoma (cHL). Metastatic workup at diagnosis, including CT
scan of neck, chest, abdomen, and pelvis and PET scan, shows no other site of disease.
According to the Ann Arbor staging system, the patient has which stage of cHL?
A. Stage I
B. Stage II
C. Stage III
D. Stage IV",A. Stage I,"The Ann Arbor staging system takes into account that Hodgkin lymphoma typically spreads
along contiguous lymph nodes, and extranodal involvement usually results from direct extension
of nodal disease. Hematogenous spread does not usually occur until disease is very advanced.
The Ann Arbor Staging System
Stage I: A single node region (I) or single extranodal organ or site (IE)
Stage II: Two or more node regions on the same side of the diaphragm (II) or one node
region and localized extranodal site on the same side of the diaphragm (IIE)
Stage III: Node regions involved on both sides of the diaphragm (III) or with localized
extranodal site involved (IIIE) or spleen involvement (IIIS)
Stage IV: Diffuse or disseminated involvement of more than one extranodal site
Extranodal structures contiguous with sites of lymph node involvement are considered E-lesions
and include lung, pleural, pericardial, or chest wall infiltration by an adjacent nodal lesion.
Pleural and pericardial effusions alone are not considered E-lesions. Liver and bone marrow are
not E-lesions but are considered stage IV.
Substage classifications are based on defined clinical features and are used in risk stratification.
Substage A indicates asymptomatic disease. Substage B indicates the presence of B symptoms,
which include fever greater than 38 °C for 3 consecutive days, drenching night sweats, and
unexplained weight loss of at least 10% body weight over a 6-month period.
Bulk disease is not part of the Ann Arbor classification but has been used by some groups in risk
stratification. Bulk disease includes large mediastinal mass with tumor diameter greater than
one-third of the thoracic diameter on an upright posterioranterior chest x-ray, large
extramediastinal nodal aggregate measuring greater than 6 cm in the longest transverse diameter,
and macroscopic splenic nodules seen on CT, PET, or MRI imaging.",100mcq's
Lymphoma,"A 15-year-old female presents with 1-month history of fatigue and a 3-day history of chest
pain and shortness of breath. Her chest x-ray shows a large mediastinal mass that is greater
than 33% of the thoracic diameter at the level of the diaphragm. A biopsy shows diffuse large
B-cell lymphoma. Metastatic work-up, including a CT scan of neck, chest, abdomen, and
pelvis; bone marrow biopsy; lumbar puncture; and PET scan show no other site of disease.
According to the St. Jude (Murphy) staging system, what is the stage of this patient’s non-
Hodgkin lymphoma (NHL)?
A. Stage I
B. Stage II
C. Stage III
D. Stage IV",C. Stage III,"The St. Jude (Murphy) staging system frequently is used for non-Hodgkin lymphoma (NHL) in
children because the Ann Arbor staging system does not adequately reflect prognosis. Childhood
NHL does not progress in the orderly and predictable lymphatic pattern that Hodgkin lymphoma
does, and extensive extranodal disease is common.
The St. Jude (Murphy) Staging System for NHL
Stage I: Single nodal or extranodal tumor excluding the mediastinum and abdomen
Stage II:
a) Single tumor (extranodal) with regional node involvement, or
b) Two or more nodal areas on the same side of the diaphragm, or
c) Two single (extranodal) tumors with or without regional node involvement on the
same side of the diaphragm, or
d) Primary gastrointestinal tract tumor that is resectable, usually in the ileocecal area
with or without involvement of associated mesenteric nodes
Stage III:
a) Two single tumors (extranodal) on opposite sides of the diaphragm, or
b) Two or more nodal areas above and below the diaphragm, or
c) Any intrathoracic disease (lung, pleura, mediastinum, and thymic) or
d) All extensive, primary intraabdominal disease, or
e) All paraspinal or epidural disease regardless of other tumor sites
Stage IV: Bone marrow and/or central nervous system involvement
Patients with NHL can present with B symptoms, and these symptoms are more common in
anaplastic large-cell lymphoma than other NHL. However, unlike in Hodgkin lymphoma, the
presence of B symptoms is not used for risk stratification.",100mcq's
Lymphoma,"A 19-year-old freshman in college presents with “lumps” on the right side of his neck and in
the right axilla. He had a fever to 39 °C 1 day in the past week. On physical exam, there are
firm anterior cervical and axillary nodes, all greater than 2 cm in diameter. A chest x-ray
shows a large mediastinal mass. A biopsy of the axillary node reveals classic Hodgkin
lymphoma. Which of the following symptoms revealed during the history is a B symptom?
A. Fever to 39 °C
B. 10% weight loss in past 6 months
C. Fatigue
D. Alcohol-induced pain
E. Pruritis
F. A and B",B. 10% weight loss in past 6 months,"In Hodgkin lymphoma, substage classifications are based on defined clinical features and are
used in risk stratification. B symptoms include (a) fever higher than 38 °C for at least 3
consecutive days, (b) greater than 10% unexplained weight loss over the preceding 6 months,
and (c) drenching night sweats (usually requiring changing of clothing and/or bedding).
Systemic symptoms are common in patients with Hodgkin lymphoma; however, many of these
symptoms, such as anorexia and fatigue, are not B symptoms. Alcohol-induced pain of involved
nodal areas can occur within minutes after alcohol consumption and resolves with treatment of
Hodgkin lymphoma. In addition, pruritis is common at diagnosis, can be mild or severe, and
resolves with treatment. The mechanism of neither alcohol-induced pain nor pruritis is known.",100mcq's
Lymphoma,"A 17-year-old female presents with cervical adenopathy and a history of daily fevers and
drenching night sweats. A biopsy is performed and reveals classic Hodgkin lymphoma.
Which of the following is least appropriate as part of the staging workup?
A. Chest x-ray
B. CT scan of chest, abdomen, and pelvis
C. Functional imaging (PET scan)
D. Lumbar puncture and cerebrospinal fluid (CSF) analysis
E. All of the above are indicated",D. Lumbar puncture and cerebrospinal fluid (CSF) analysis,"Central nervous system (CNS) involvement by Hodgkin lymphoma is exceedingly rare.
Evaluation of the CNS is not routine practice, and CNS prophylaxis is not part of therapy for
Hodgkin lymphoma. In contrast, the common pediatric non-Hodgkin lymphoma (NHL) can be
widely disseminated at presentation even when the patients appear to present with localized
disease on physical examination. Evaluation of CNS with lumbar puncture and CSF cytology is
important in the staging workup for pediatric NHL, and CNS prophylaxis is part of treatment for
most pediatric NHL.",100mcq's
Oncologic Emergencies,"A 14-year-old boy presents with cough, shortness of breath, and difficulty lying down. His
face and neck swell when his arms are raised. Chest x-ray reveals a large mediastinal mass. A
tissue diagnosis is desired. A biopsy is performed with local anesthesia because the
anesthesiologist thinks that the patient has a very high general anesthesia risk.
Which of the following findings does not make general anesthesia unsafe?
A. Tumor diameter greater than 45% of transthoracic diameter
B. Tracheal cross-sectional area less than 50% of predicted
C. Peak expiratory flow rate less than 50% of predicted
D. A malignancy of hematopoietic origin
E. A large pericardial effusion",D. A malignancy of hematopoietic origin,"There are no standard criteria to predict the severity of superior vena cava syndrome (SVCS).
Several studies have evaluated anesthesia complication risks. Great vessel and tracheal
compression with increasing respiratory symptoms and signs are predictive of anesthesia
complications. SVCS results most often from an anterior mediastinal mass that can be caused by
Hodgkin or non-Hodgkin lymphoma, T-cell lymphoblastic leukemia, sarcomas, and germ cell
tumors. It is usually not caused by neuroblastoma, which can present as a posterior mediastinal
mass.",100mcq's
Oncologic Emergencies,"A 13-year-old boy presents to the emergency department with complaints of headache and
visual changes. History reveals progressive dyspnea on exertion, generalized fatigue, and
increased bruising. His labs are significant for a WBC of 350,000/mcL, of which 80% are
reported to be blasts and appear to be myeloblasts without the presence of Auer rods. His
hemoglobin is 7.2 g/dL, and his platelets are 18,000/mcL. A CT scan of the head shows a
small intracerebral hemorrhage. His coags are normal.
Which of the following is the most appropriate therapy?
A. Start induction chemotherapy.
B. Perform emergent leukapheresis followed the next day by induction chemotherapy.
C. Perform emergent leukapheresis plus hydroxyurea.
D. Provide emergent cranial radiation plus hydroxyurea followed the next day by induction
chemotherapy.
E. Provide emergent cranial radiation plus emergent leukapheresis and hydroxyurea
followed the next day by induction chemotherapy.",C. Perform emergent leukapheresis plus hydroxyurea.,"Patients with acute myeloid leukemia who present with hyperleukocytosis have a life-threatening
illness. The primary risk of hyperleukocytosis is leukostasis associated with leukocyte thrombi
and aggregates within the vasculature. The immediate objective is to reduce peripheral blast
count rapidly to prevent infarction and hemorrhage. This is most quickly done with leukapheresis
and should especially be considered in patients with clinical signs and symptoms of leukostasis.
Hydroxyurea is often also included as treatment for leukocytosis until it is safe to initiate
systemic chemotherapy with the hope that it will decrease the rate of rise in blast percentage.
Cranial radiation is not warranted in this setting and may increase risk of cerebral hemorrhage.",100mcq's
Oncologic Emergencies,"When reviewing the chemistry panel of a newly diagnosed patient with acute lymphoblastic
leukemia who is lethargic, complaining of flank pain, and experiencing nausea and vomiting,
which of the following would you expect to see?
A. Potassium 4.5 mmol/L, phosphorus 8 mg/dL, uric acid 7 mg/dL, calcium 9.0 mg/dL,
BUN 12 mg/dL, BUN 12 mg/dL
B. Potassium 6.5 mmol/L, phosphorus 8 mg/dL, uric acid 9 mg/dL, calcium 10 mg/dL, BUN
14 mg/dL
C. Potassium 4 mmol/L, phosphorus 9 mg/dL, uric acid 10 mg/dL, calcium 10 mg/dL, BUN
10 mg/dL
D. Potassium 7 mmol/L, phosphorus 12 mg/dL, uric acid 10 mg/dL, calcium 7 mg/dL, BUN
25 mg/dL","D. Potassium 7 mmol/L, phosphorus 12 mg/dL, uric acid 10 mg/dL, calcium 7 mg/dL, BUN
25 mg/dL","Tumor lysis syndrome (TLS) is common in newly diagnosed leukemia patients after initiation of
therapy. Laboratory results consistent with TLS include hyperkalemia, hyperphosphatemia,
hyperuricemia, and hypocalcemia. These patients may also have kidney injury evidenced by
elevated BUN and/or creatinine.",100mcq's
Palliative and Supportive Care,"A 9-year-old child with osteosarcoma is being admitted for cisplatin therapy. What is the best
regimen for prevention of chemotherapy-induced nausea and vomiting (CINV)?
A. Palonosetron and olanzapine
B. Dexamethasone and aprepitant
C. Granisetron, dexamethasone at 50% dosing, and aprepitant
D. Granisetron, dexamethasone at 100% dosing, and aprepitant
E. Lorazepam, diphenhydramine, and scopolamine patch","C. Granisetron, dexamethasone at 50% dosing, and aprepitant","Children aged 6 months and older receiving highly emetogenic chemotherapy (HEC) that is not
known or suspected to interact with aprepitant receive granisetron or ondansetron or
palonosetron plus dexamethasone plus aprepitant. When giving aprepitant, dexamethasone
95
should be given at 50% dosing because both are CYP3A4 substrates. Olanzapine is not currently
part of the guidelines for prevention of CINV. All regimens for low, moderate, and highly
emetogenic chemotherapy include a 5HT3 inhibitor such as ondansetron, granisetron, or
palonosetron. Lorazepam is useful for anticipatory nausea and vomiting, although a regimen
containing lorazepam, diphendydramine, and scopolamine has multiple antihistamine and
anticholinergic agents without any serotonin (5HT3) antagonists or dopamine (D2) antagonists.",100mcq's
Palliative and Supportive Care,"A 4-year-old child with acute lymphoblastic leukemia is receiving high-dose methotrexate
during interim maintenance. He receives ondansetron and aprepitant during his stay, which
control his nausea and vomiting well. These medications work by inhibiting signaling in
which part of the brain?
A. Vestibular system
B. Cerebral cortex
C. Hypothalamus
D. Vomiting center
E. Chemoreceptor trigger zone",E. Chemoreceptor trigger zone,"High-dose methotrexate in leukemia therapy (5 g/m2) is considered moderately emetogenic
chemotherapy. Because dexamethasone cannot be given to patients with leukemia as an
antiemetic, and the patient is older than 6 months, the patient is on the correct regimen of a 5HT3
inhibitor (ondansetron) and a NK1 inhibitor (aprepitant). Chemotherapy, metabolic products,
drugs, and toxins stimulate nausea and vomiting through their effects on the chemoreceptor
trigger zone. Blocking 5HT3 and NK1 occurs at the level of the chemoreceptor trigger zone and
prevents further signaling to the vomiting center (receptors in the vomiting center being
histamine [H1], m-acetylcholine, and 5HT2). Medications that have antidopaminergic (D2)
activity such as olanzapine, haloperidol, and promethazine also work at the chemoreceptor
trigger zone. The vestibular system is mediated through histamine and m-acetylcholine. These
are relevant in children with motion sickness or labyrinth disorders. Medications that work at the
level of the cerebral cortex are lorazepam (anticipatory nausea) and dexamethasone (increased
intracranial pressure).",100mcq's
Palliative and Supportive Care,"A 16-year-old patient with a left-side pelvic osteosarcoma is taking extended release
oxycodone twice daily as well as immediate release oxycodone for breakthrough pain
approximately 2 or 3 times per day. She describes her pain as burning, tingling, and shooting
in her left leg. Her pain worsens with hot showers. Her most recent EKG has a QTc of 495.
What would be the best strategy to manage her pain?
A. Switch from long-acting oxycodone to methadone.
B. Recommend more frequent use of her immediate release oxycodone.
C. Add amitriptyline daily. Start low and titrate upward on dosage.
D. Add gabapentin three times daily. Start low and titrate upward on dose.
E. Add sertraline daily. Start low and titrate upward on dose.",D. Add gabapentin three times daily. Start low and titrate upward on dose.,"This patient has both nociceptive pain from her tumor/bony erosion, which is being managed
with opioids, and neuropathic pain, likely due to nerve compression from her pelvic tumor.
There are multiple classes of medications used to treat neuropathic pain, such as gabapentinoids
(gabapentin, pregabalin), serotonin–norepinephrine reuptake inhibitor (SNRIs; venlafaxine,
duloxetine), tricyclic antidepressants (TCAs; amitriptyline, nortriptyline), opioids (methadone),
and other agents like lidocaine and ketamine. As her QTc is near 500, methadone and
amitriptyline should be avoided because they could worsen the QTc prolongation. Sertraline is a
selective serotonin reuptake inhibitor (SSRI; antidepressant/antianxiolytic). SSRIs do not treat
neuropathic pain like the SNRIs (duloxetine or venlafaxine). Using more oxycodone will
probably cause more opioid-induced side effects and is not the best long-term management
strategy for neuropathic pain. In this setting, adding gabapentin three times daily, and titrating up
slowly to a weight-based dose or adult dose is the best strategy. Gabapentin does not cause QTc
prolongation.",100mcq's
Research Ethics and Quality Improvement,"87. A leukemia investigator plans to obtain bone marrow under general anesthesia to measure
minimal residual disease (MRD) and to see if this time point can predict early relapse. The
specimen will be obtained at a time point when otherwise no bone marrow would be
sampled. The results are not shared with the treating oncologist, and no therapeutic
interventions are decided or based on the results. Which of the following statements is most
accurate about this intervention?
A. It constitutes a minimal-risk procedure because bone marrow assessments are considered
routine for patients diagnosed with acute lymphoblastic leukemia.
B. It constitutes a minimal-risk procedure because it is a single additional procedure being
performed during the course of treatment.
C. It constitutes a greater than minimal-risk procedure because it is being done under
general anesthesia.
D. It is justifiable because future patients may benefit from knowledge gained by the
research.","C. It constitutes a greater than minimal-risk procedure because it is being done under
general anesthesia.","The regulatory definition of “minimal” risk is that the probability and magnitude of harm or
discomfort anticipated in the research are not greater than those ordinarily encountered in daily
life or during the performance of routine physical or psychological examinations or tests.",100mcq's
Research Ethics and Quality Improvement,"What are the six dimensions of quality care according to the Institute of Medicine?
A. Safe, timely, effective, efficient, equitable, and person-centered
B. Safe, transparent, effective, efficient, equitable, and person-centered
C. Safe, timely, effective, low-cost, equitable, and person-centered
D. Safe, timely, effective, efficient, cutting-edge, and person-centered","A. Safe, timely, effective, efficient, equitable, and person-centered","In their landmark report Crossing the Quality Chasm, the Institute of Medicine outlined six
major domains of quality health care, which can be remembered using the mnemonic STEEP.
These are a good guide for teams to use in developing organizational and project-based aims.
• First, health care must be safe. This means much more than the ancient maxim, “first, do
no harm,” which makes it the individual caregiver’s responsibility to somehow try extra
hard to be more careful (a requirement modern human factors theory has shown to be
unproductive). Instead, the aim means that safety must be a property of the system. No
one should ever be harmed by health care again.
• Second, health care must be effective. It should match science, with neither underuse nor
overuse of the best available techniques—every elderly heart patient who would benefit
from beta-blockers should get them, and no child with a simple ear infection should get
advanced antibiotics.
• Third, health care should be patient-centered. The individual patient’s culture, social
context, and specific needs deserve respect, and the patient should play an active role in
making decisions about his or her own care. That concept is especially vital today, as
more people require chronic rather than acute care.
• Fourth, care should be timely. Unintended waiting that doesn’t provide information or
time to heal is a system defect. Prompt attention benefits both the patient and the
caregiver.
• Fifth, the healthcare system should be efficient, constantly seeking to reduce the waste—
hence the cost—of supplies, equipment, space, capital, ideas, time, and opportunities.
• Sixth, health care should be equitable. Race, ethnicity, gender, and income should not
prevent anyone in the world from receiving high-quality care. We need advances in
healthcare delivery to match the advances in medical science so the benefits of that
science may reach everyone equally.",100mcq's
Research Ethics and Quality Improvement,"A pediatric fellow is planning a project intended to decrease the incidence of acute chest
syndrome among patients with sickle cell disease who are already admitted to the hospital for
other reasons. The fellow discussed with her mentor whether the project proposal should be
submitted for review by the Institutional Review Board (IRB). The mentor explains that, at
their intuition, quality improvement activities do not require IRB review but research projects
must be submitted to the IRB. Which of the following is NOT a relevant consideration in
determining whether the project is research or quality improvement?
A. The aim to create new knowledge for the individual institution versus discovering new
and generalizable knowledge
B. The chosen methodology which will include repeated Plan-Do-Study-Act cycles
C. The intent to publish the results in a peer reviewed hematology journal
D. The efforts to hold biases/confounders stable over time, rather than control for them with,
for example, randomization",C. The intent to publish the results in a peer reviewed hematology journal,"The distinction between quality improvement projects and traditional research projects can be a
confusing one but, over time, the relevant distinctions between these two activities have become
clearer. The first pertains to intent. Researchers intend to discover new knowledge that would be
generalizable to others whereas quality improvement aims more to create new knowledge that
would be applied to local practices and local systems of care. Second, research often involves a
single experiment or trial, often done over a large amount of time, controlling for as many
biases/confounders as possible. In quality improvement, the methodology involves short,
repeated cycles of intervention, each time layering on something new, while keeping
biases/confounders otherwise stable, even if not controlled. In research we collect as much data
as possible from this single experiment while in quality improvement we collect just enough data
to allow us to plan the next cycle. Individuals unsure of whether their project is best
characterized as research vs. quality improvement are encouraged to seek consultation from their
local IRB.",100mcq's
"Review of Peripheral Blood and Bone Marrow Morphology:
Non-Malignant Hematology","The patient is a 6-year-old boy referred to a hematologist for thrombocytopenia. He has no
bleeding history or family history of bleeding. His only other past medical history is mild
high-frequency hearing loss. What gene is responsible for these findings?
A. NBEAL2
B. GP-1Ba
C. MYH9
D. Deletions of long arm of chromosome 11
E. GATA1",C. MYH9,"The peripheral blood smear shows macrothrombocytopenia with otherwise normal platelet
granulation. The neutrophils have prominent Döhle-like cytoplasmic inclusions. The smear is
consistent with May-Hegglin anomaly caused by mutations in MYH9. MYH9-related diseases
include Epstein syndrome, Fechtner syndrome, and May–Hegglin anomaly.
Other genetic syndromes associated with giant platelets include Bernard-Soulier syndrome (GP-
1Ba), grey platelet syndrome (NBEAL2), some patients with von Willebrand factor type 2b, and
Paris-Trousseau thrombocytopenia (deletion of 11q23-terminus).",100mcq's
